Satellite_Tag_Num,Project_Year,Project_Type,Project_Name,Location,Start_Transmission,End_Transmission,Data_Days,Seal_ID,NickName,Size,Sex,Other_tags,Handling,
131449,2013,translocation,Trans-Surv-Enhance,LAY,06/26/13,12/02/13,159,one of 6,,W,F,,,
121018,2013,translocation,Trans-Surv-Enhance,LAY,09/13/13,12/02/13,81,one of 6,,W,F,,,
121017,2013,translocation,Trans-Surv-Enhance,LAY,09/14/13,12/02/13,80,one of 6,,W,F,,,
one of 6,2013,translocation,Trans-Surv-Enhance,,,,,Y98N,,W,F,,,
one of 6,2013,translocation,Trans-Surv-Enhance,,,,,Y94N,,W,F,,,
one of 6,2013,translocation,Trans-Surv-Enhance,,,,,Y16N,,W,F,,,
one of 6,2013,translocation,Trans-Surv-Enhance,,,,,Y14N,,W,F,,,
one of 6,2013,translocation,Trans-Surv-Enhance,,,,,Y10N,,W,F,,,
one of 6,2013,translocation,Trans-Surv-Enhance,,,,,Y04N,,W,F,,,
,,,,,,,,,,,,,,
131445,2014,translocation,2014-tranloc,LAY,09/05/14,09/20/15,381,TF71,,W,F,,09/05/14,
141600,2014,translocation,2014-tranloc,LAY,09/05/14,01/27/15,144,Y12F,,W,F,,09/05/14,
141601,2014,translocation,2014-tranloc,LAY,09/05/14,01/22/15,140,Y26F,,W,F,,09/05/14,
141602,2014,translocation,2014-tranloc,LAY,09/05/14,01/09/15,126,Y72F,,W,F,,09/05/14,
141603,2014,translocation,2014-tranloc,LAY,09/05/14,01/13/15,131,Y74F,,W,F,,09/05/14,
141604,2014,translocation,2014-tranloc,LAY,09/05/14,01/04/15,121,Y20F,,W,F,,09/05/14,
141605,2014,translocation,2014-tranloc,LAY,09/05/14,01/19/15,136,Y16F,,W,F,,09/05/14,
141606,2014,translocation,2014-tranloc,LAY,09/05/14,01/17/15,134,Y50F,,W,F,,09/05/14,
141587,2014,translocation,2014-tranloc,LIS,09/11/14,04/21/15,222,PF02,,W,F,,09/11/14,
141590,2014,translocation,2014-tranloc,LIS,09/11/14,03/28/15,198,PF00,,W,F,,09/11/14,
141613,2014,translocation,2014-tranloc,LIS,09/11/14,10/25/14,44,KF18,,W,F,,09/11/14,
141614,2014,translocation,2014-tranloc,LIS,09/11/14,01/06/15,118,KF20,,W,F,,09/11/14,
141610,2014,translocation control,2014-tranloc,LAY,09/05/14,01/21/15,138,TF89,,W,F,,09/05/14,
141611,2014,translocation control,2014-tranloc,LAY,09/05/14,01/18/15,135,TF29,,W,F,,09/05/14,
141612,2014,translocation control,2014-tranloc,LAY,09/05/14,01/07/15,124,TL91,,J2,F,,09/05/14,
141588,2014,translocation control,2014-tranloc,MDY,09/09/14,04/03/15,206,PF12,,W,F,,09/09/14,
141589,2014,translocation control,2014-tranloc,MDY,09/09/14,03/21/15,193,PF16,,W,M,,09/09/14,
141591,2014,translocation control,2014-tranloc,LIS,09/11/14,02/08/15,150,GF23,,W,F,,09/11/14,
141592,2014,translocation control,2014-tranloc,LIS,09/11/14,10/06/14,25,GF78,,W,F,,09/11/14,
,,,,,,,,,,,,,,
73368,2000s,rehab,MDY 2nd Chance,MDY + Oahu,12/12/06,07/03/07,204,PO12,,J1,M,,03/27/07,
73298,2000s,rehab,MDY 2nd Chance,MDY + Oahu,12/13/06,03/31/07,109,PO42,,J1,F,VHF 164.282,03/20/07,
73363,2000s,rehab,MDY 2nd Chance,MDY + Oahu,12/19/06,08/11/08,374,PO26,,J1,F,VHF 164.042,03/18/07,
73365,2000s,rehab,MDY 2nd Chance,MDY + Oahu,12/19/06,01/27/08,372,KO76,,J1,F,,03/28/07,
72623,2000s,rehab,MDY 2nd Chance,MDY + Oahu,03/12/07,08/19/07,160,PO22,,J1,F,VHF 164.141,03/18/07,
72622,2000s,rehab,MDY 2nd Chance,MDY + Oahu,03/12/07,03/31/07,19,PO48,,J1,F,VHF 164.484,03/20/07,
72621,2000s,rehab,MDY 2nd Chance,MDY + Oahu,03/12/07,03/31/07,19,PO40,,J1,F,VHF 164.402,03/20/07,
72624,2000s,rehab,MDY 2nd Chance,MDY + Oahu,03/12/07,01/25/08,293,PO20,,J1,M,,03/22/07,
74961,2000s,rehab,MDY 2nd Chance,MDY + Oahu,03/12/07,03/30/07,18,PO46,,J1,F,VHF 164.503,03/18/07,
,,,,,,,,,,,,,,
141599,2014,rehab,KKOrehab,FFS,09/03/14,09/19/14,16,Y5PP,,J2,F,,09/03/14,
141607,2014,rehab,KKOrehab,LAY,09/05/14,01/11/15,128,BF02,,W,M,,09/05/14,
141608,2014,rehab,KKOrehab,LAY,09/05/14,01/24/15,141,BF00,,W,F,,09/05/14,
141609,2014,rehab,KKOrehab,LAY,09/05/14,01/09/15,126,PN10,,J1,F,,09/05/14,
141593,2015,rehab,KKOrehab,KUR,03/20/15,06/06/15,78,TF90,Pua,W,F,,,
141598,2015,rehab,KKOrehab,LAY,03/20/15,05/24/15,65,KF04,Mele,W,F,,,
141595,2015,rehab,KKOrehab,PHR,09/16/15,11/15/15,59,DG02,Pearl,,,,,
141596,2015,rehab,KKOrehab,PHR,09/17/15,11/25/15,68,DG10,Hermes,,,,,
141597,2016,rehab,KKOrehab,LIS,04/24/16,06/29/16,66,LG36,Puka,,,,,
141616,2016,rehab,KKOrehab,LAY,04/15/16,08/07/16,112,NG99,Kilo,,,,,
152907,2016,rehab,KKOrehab,FFS,04/16/16,08/07/16,113,Y70F,Mo'o,,,,,
152908,2016,rehab,KKOrehab,FFS,04/16/16,05/04/16,18,AG18,Ama'ama,,,,,
152909,2016,rehab,KKOrehab,FFS,04/16/16,09/23/16,158,AG34,Mahina,,,,,
152913,2016,rehab,KKOrehab,KUR,04/23/16,07/10/16,77,KG56,Ena'ena,,,,,
152914,2016,rehab,KKOrehab,LIS,04/01/16,05/25/16,37,LG06,Neva,,,,,
,,,,,,,,,,,,,,
131454,2015,CritterCam,critter cam with Med Monk Seal team,MHI-Mol,04/12/15,04/24/15,10,,,,,,,
,,,,,,,,,,,,,,
121015,2010s,opportunistic,MOM TAGGED AFTER PUP DEATH IN DOG ATTACK,MHI-Kauai,07/29/14,08/21/14,24,RK28,,A,F,,07/29/14,
86309,2000s,opportunistic,opportunistic after dehooking,MHI-Big,07/01/09,07/31/09,31,RW34,,J,F,,06/23/09,
121016,2010s,opportunistic,opportunistic after dehooking,MHI-Kauai,01/25/13,06/24/13,151,RT12,,J2,M,,02/05/13,
141594,2010s,opportunistic,thin Kauai seal instrumented after exam,MHI-Kauai,03/05/15,04/14/15,39,R6AP,,,,,,
,,,,,,,,,,,,,,
74958,2000s,problem seals,transloc problem seal,MHI-Mol,08/27/08,12/27/08,123,RO42,,S3,F,,08/26/08,
83833,2000s,problem seals,transloc problem seal,NIH,02/23/09,04/05/09,40,RO42,,S4,F,,02/24/09,"other tags 2006, 2007, 2008, moved amongst main islands - now to NIH"
131453,2010s,problem seals,transloc problem seal,MHI-Kauai,06/26/13,12/02/13,158,RN02,,W,M,,10/11/13,
131446,2010s,problem seals,transloc problem seal,MHI-LAY,06/28/14,08/12/14,45,RL06,,J2,F,,06/28/14,
