"AnzahlFund";"StatistikFunde";"FindID";"Storage_refID";"Context_refID";"Site_refID";"Excavation_Number";"Object_Description";"Decoration_Description";"UseWear_Description";"Preservation_Condition";"Preservation_Status";"Find_Material";"Production_Quality";"Surface_Treatment";"Find_Category";"OtherTextileTools_Height_max_mm";"OtherTextileTools_Height_min_mm";"OtherTextileTools_Thickness_min_mm";"OtherTextileTools_Thickness_max_mm";"OtherTextileTools_Width_min_mm";"OtherTextileTools_Width_max_mm";"OtherTextileTools_Length_max_mm";"OtherTextileTools_Length_min_mm";"OtherTextileTools_Diameter_max_mm";"OtherTextileTools_Diameter_min_mm";"OtherTextileTools_Hole_Shape";"Spinning_bowl_Height_mm";"Spinning_bowl_Thickness_mm";"Spinning_Bowl_Rim_Diameter_mm";"Spinning_bowl_Base_Diameter_mm";"Spinning_Bowl_Number_of_Handles";"Spinning_bowl_Thickness_of_Handles_mm";"Loomweights_type_Valuelist";"Loomweight_Weight_in_g";"Loomweight_Weight_if_not_complete";"Loomweight_Estimated_full_weight";"Loomweight_Diameter_mm";"Loomweight_Height_mm";"Loomweight_Thickness_mm";"Loomweight_Width_mm";"Loomweight_Position_of_holes";"Loomweight_Number_of_holes";"Loomweight_Holediameter_range_mm";"Loomweight_Groove";"Fibre_Material_SystemA";"Fibre_Material_SystemB";"Thread_Spindirection_SystemA";"Thread_Spindirection_SystemB";"Thread_Spinangle_SystemA";"Thread_Spinangle_SystemB";"Textile_Weave";"Textile_Structure";"Textile_Material_analysis";"WarpWeft";"Thread_Fibre_Count_SystemA";"Thread_Fibre_Count_SystemB";"Threads_per_cm_SystemA";"Threads_per_cm_SystemB";"Needle_Thickness_at_midshaft";"Needle_Shape_of_head";"Needle_Shape_of_eye";"Needle_Eye_size_max_mm";"Needle_Length_mm";"Needle_Thickness_mm";"Spindlewhorl_Weight_in_g";"Spindlewhorl_Weight_if_not_complete_g";"Spindlewhorl_Estimated_full_weight";"Spindlewhorl_Diameter_in_mm";"Spindlewhorl_Height_in_mm";"Spindlewhorl_Holediameter_mm";"Spindlewhorl_type_Valuelist";"Spindlewhorl_Hole_shape_Valuelist";"Shuttle_Width_max_mm";"Shuttle_Width_min_mm";"Shuttle_Length_min_mm";"Shuttle_Length_max_mm";"Shuttle_Thickness_max_mm";"Shuttle_Opening";"Iconographic_Object_Height_max_mm";"Iconographic_Object_Length_max_mm";"Iconographic_Object_Width_max_mm";"Iconographic_Object_Type";"Iconographic_Object_Representation";"Textile_Fibre_Thickness";"Imprinted_Object_Height_mm";"Imprinted_Object_Length_mm";"Imprinted_Object_Width_mm";"Find_Category Anzahl";"Thread_diameter_mm_SystemA";"Thread_diameter_mm_SystemB";"Fibre_diameter_µm_SystemA";"Fibre_diameter_µm_SystemB";"Ply_SystemA";"Ply_SystemB";"Textile_Parenthetical_NotationalSystemA";"Textile_Parenthetical_NotationalSystemB";"Fibre_diameter_mean_SystemA";"Fibre_diameter_mean_SystemB";"Kemp_diameter_SystemB";"Kemp_diameter_SystemA";"Statistikspinnwirtel";"StatistikTextilien";"StatistikWebgewichte";"StatistikSpools";"StatistikTextileImprints";"StatistikPin";"StatistikIconogrphy";"StatistikBrush";"Impression_TwistdirectionA";"Impression_TwistdirectionB";"Impression_Twistangle_°A";"Impression_Twistangle_°B";"Impression_Dimensions_maxLength_mm";"Impression_Dimensions_maxWidth_mm";"Impression_Depth";"Impression_Depth_in%of_cord";"Impression_Twists_in_2cm";"Impression_single_threads_mean_diameter_mmA";"Impression_single_threads_mean_diameter_mmB";"Hollow";"AuswertungANIMALFIBRES";"AuswertungVEGETABLEFIBRES";"AuswertungUNDETERMINED";"SpinnwirtelTypSchmidt";"Statistikfeld SWGewicht";"Statistikfeld SW";"Anzahl HöheDurchmesserGewicht";"AuswertungSW";"Gewicht_min";"Gewicht_SW_max";"Ratio DurchmesserdurchHöhe";"Zeitscheiben";"Auswertung Perforated Ceramic Discs";"MittelwertHöhe";"MittelwertGewicht";"MittelwertDurchmesser";"Feld 185";"Decoration";"SWmodel_durchlocht";"SiteID";"Site_Name";"Longitude";"Latitude";"GeonamesID";"Datierungen";"Datierungen End";"Datierungen Kopie";"Datierungen End Kopie";"AuswertungFormelTEX";"AuswertungFormelTEXIMPR";"AuswertungFormelTEXPSEUD";"Auswertung Perforated Ceramic Discs2";"MittelwertHöhe2";"MittelwertGewicht2";"MittelwertDurchmesser2";"Georegion";"Georegion Kopie";"TIME_MIN";"TIME_MAX";"id"
"1";"2759";"C01497";"";"519";"57";"";"";"";"";"";"";"";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"6000-5500";"";"";"";"";"";"";"";"57";"Sawwan";"43,9";"34,116667";"";"6000";"5500";"6000";"5500";"1";"0";"0";"";"";"";"";"";"Mesopotamien";"6000";"5500";"301512"
"1";"2759";"C01523";"";"616";"18";"2237.00";"";"";"";"";"";"Stone";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Discoid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"m";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"4000-3500";"";"";"";"";"";"";"0";"18";"Hacinebi";"37,973611";"37,061389";"";"4000";"3400";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Middle Euphrates";"Mesopotamien";"4000";"3500";"301535"
"1";"2759";"C01641";"";"924";"63503619117";"496.91";"Miniaturrad";"";"";"";"";"Fired Clay";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25";"";"54";"(33)";"5";"Miniatur Wheel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"g";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"-1,6363636363636364";"N.A.";"";"";"";"";"";"";"0";"63503619117";"Norsuntepe";"39,47";"38,618889";"N.A.";"4300";"2000";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Upper Euphrates";"Ostanatolien";"4500";"2000";"301653"
"1";"2759";"C01642";"";"923";"63503619117";"496.92";"Miniaturrad";"";"";"";"";"Fired Clay";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"(35)";"7";"Miniatur Wheel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"g";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"-2,0857142857142857";"N.A.";"";"";"";"";"";"";"0";"63503619117";"Norsuntepe";"39,47";"38,618889";"N.A.";"4300";"2000";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Upper Euphrates";"Ostanatolien";"4500";"2000";"301654"
"1";"2759";"C01643";"";"922";"63503619117";"496.93";"Miniaturrad";"";"";"";"";"Fired Clay";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"58";"(31)";"5";"Miniatur Wheel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"g";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"-1,8709677419354839";"N.A.";"";"";"";"";"";"";"0";"63503619117";"Norsuntepe";"39,47";"38,618889";"N.A.";"4300";"2000";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Upper Euphrates";"Ostanatolien";"4500";"2000";"301655"
"1";"2759";"C01644";"";"921";"63503619117";"496.94";"Miniaturrad";"";"";"";"";"Fired Clay";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";"32";"5";"Miniatur Wheel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"g";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"1,5625";"N.A.";"";"";"";"";"";"";"0";"63503619117";"Norsuntepe";"39,47";"38,618889";"N.A.";"4300";"2000";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Upper Euphrates";"Ostanatolien";"4500";"2000";"301656"
"1";"2759";"C01694";"";"985";"74";"SAB88 W-3";"Conical spindle whorl. Dolorite?";"";"";"";"Complete";"Stone";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25";"10";"";"Conical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"2,5";"6000-5500";"";"";"";"";"";"";"0";"74";"Sabi Abyad";"39,092917";"36,503611";"";"6200";"5700";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Middle Euphrates";"Mesopotamien";"6000";"5500";"301706"
"1";"2759";"C01695";"";"984";"74";"SAB88 W-2";"Conical spindle whorl. Red-brown stone (unidentified)";"";"";"";"Complete";"Stone";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"14";"";"Conical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"a";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"2,1428571428571429";"6000-5500";"";"";"";"";"";"";"0";"74";"Sabi Abyad";"39,092917";"36,503611";"";"6200";"5700";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Middle Euphrates";"Mesopotamien";"6000";"5500";"301707"
"1";"2759";"C01790";"";"1087";"55";"1822";"Whorl, half granite";"";"";"";"";"Stone";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"?";"6000-5500";"";"";"";"";"";"";"0";"55";"Mersin";"34,633333";"36,8";"";"6500";"6000";"6500";"6000";"1";"0";"0";"";"";"";"";"";"Mittelmeerraum";"6500";"6000";"301765"
"1";"2759";"C01721";"";"958";"74";"SAB88 O-32";"Biconically pierced disc. Pottery (red-painted, black Dark-Faced-Burnished ware).";"";"";"";"Unfinished (half-product)";"Ceramic";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40";"9";"";"Discoid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"m";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"4,4444444444444444";"6000-5500";"";"";"";"";"";"";"0";"74";"Sabi Abyad";"39,092917";"36,503611";"";"6200";"5700";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Middle Euphrates";"Mesopotamien";"6000";"5500";"301734"
